(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
(60, 1, 1.5, 0, 0.5, 3, 2.5): Return: 4.27%, Hit Ratio: 76.29%, Max Drawdown: 0.36%
(60, 1, 1.5, 0, 0.5, 3.5, 2.5): Return: 4.27%, Hit Ratio: 76.29%, Max Drawdown: 0.36%
(60, 1, 1.5, 0.5, 0, 3, 2.5): Return: 4.27%, Hit Ratio: 75.26%, Max Drawdown: 0.39%
(60, 1, 1.5, 0.5, 0, 3.5, 2.5): Return: 4.27%, Hit Ratio: 75.26%, Max Drawdown: 0.39%
(60, 1.5, 2, 0, 0.5, 3, 2.5): Return: 4.27%, Hit Ratio: 72.73%, Max Drawdown: 0.5%
(60, 1.5, 2, 0, 0.5, 3.5, 2.5): Return: 4.27%, Hit Ratio: 72.73%, Max Drawdown: 0.5%
(60, 1.5, 1.5, 0, -0.5, 3, 3): Return: 4.25%, Hit Ratio: 80.85%, Max Drawdown: 0.74%
(60, 1.5, 1.5, 0, -0.5, 3.5, 3): Return: 4.25%, Hit Ratio: 80.85%, Max Drawdown: 0.74%
(100, 1, 1.5, -0.5, -0.5, 3.5, 2.5): Return: 4.25%, Hit Ratio: 83.33%, Max Drawdown: 0.74%
(100, 1, 1.5, 0.5, 0.5, 3.5, 3): Return: 4.25%, Hit Ratio: 74.47%, Max Drawdown: 0.43%
(100, 1, 1.5, 0.5, 0.5, 3.5, 3.5): Return: 4.25%, Hit Ratio: 74.47%, Max Drawdown: 0.43%
(30, 1, 2, 0.5, 0, 3.5, 2.5): Return: 4.23%, Hit Ratio: 70.0%, Max Drawdown: 0.33%
(60, 1, 1.5, 0.5, 0, 3, 3): Return: 4.23%, Hit Ratio: 75.26%, Max Drawdown: 0.36%
(60, 1, 1.5, 0.5, 0, 3.5, 3): Return: 4.23%, Hit Ratio: 75.26%, Max Drawdown: 0.36%
(100, 1, 2, -0.5, -0.5, 3.5, 2.5): Return: 4.23%, Hit Ratio: 83.08%, Max Drawdown: 0.74%
(100, 1, 2, 0.5, 0.5, 3.5, 3): Return: 4.23%, Hit Ratio: 74.19%, Max Drawdown: 0.43%
(100, 1, 2, 0.5, 0.5, 3.5, 3.5): Return: 4.23%, Hit Ratio: 74.19%, Max Drawdown: 0.43%
