(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
(30, 2, 1, 0, -0.5, 3.5, 3.5): Return: 9.68%, Hit Ratio: 72.41%, Max Drawdown: 1.11%
(60, 2, 1, -0.5, 0, 2.5, 2.5): Return: 9.68%, Hit Ratio: 70.37%, Max Drawdown: 1.1%
(60, 1, 1, 0.5, -0.5, 3, 3.5): Return: 9.65%, Hit Ratio: 65.22%, Max Drawdown: 1.11%
(60, 1, 1, 0.5, -0.5, 3.5, 3.5): Return: 9.65%, Hit Ratio: 65.22%, Max Drawdown: 1.11%
(60, 2, 1, -0.5, -0.5, 2.5, 3.5): Return: 9.64%, Hit Ratio: 73.47%, Max Drawdown: 1.22%
(60, 2, 1, -0.5, 0, 3, 2.5): Return: 9.64%, Hit Ratio: 70.37%, Max Drawdown: 1.1%
(60, 2, 1, -0.5, 0, 3.5, 2.5): Return: 9.64%, Hit Ratio: 70.37%, Max Drawdown: 1.1%
(60, 2, 1, -0.5, -0.5, 3, 3.5): Return: 9.6%, Hit Ratio: 73.47%, Max Drawdown: 1.25%
(60, 2, 1, -0.5, -0.5, 3.5, 3.5): Return: 9.6%, Hit Ratio: 73.47%, Max Drawdown: 1.25%
(30, 2, 1, -0.5, 0.5, 2.5, 3.5): Return: 9.58%, Hit Ratio: 71.21%, Max Drawdown: 1.1%
(30, 2, 1, 0, 0.5, 2.5, 3): Return: 9.58%, Hit Ratio: 70.77%, Max Drawdown: 1.1%
